,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
16,8191-XWSZG,Female,False,False,False,52,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,20.65,1022.95,False
17,9959-WOFKT,Male,False,False,True,71,True,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,False,Bank transfer (automatic),106.7,7382.25,False
18,4190-MFLUW,Female,False,True,True,10,True,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,False,Credit card (automatic),55.2,528.35,True
19,4183-MYFRB,Female,False,False,False,21,True,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,True,Electronic check,90.05,1862.9,False
20,8779-QRDMV,Male,True,False,False,1,False,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,True,Electronic check,39.65,39.65,True
21,1680-VDCWW,Male,False,True,False,12,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Bank transfer (automatic),19.8,202.25,False
22,1066-JKSGK,Male,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.15,20.15,True
23,3638-WEABW,Female,False,True,False,58,True,Yes,DSL,No,Yes,No,Yes,No,No,Two year,True,Credit card (automatic),59.9,3505.1,False
24,6322-HRPFA,Male,False,True,True,49,True,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,False,Credit card (automatic),59.6,2970.3,False
25,6865-JZNKO,Female,False,False,False,30,True,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,True,Bank transfer (automatic),55.3,1530.6,False
26,6467-CHFZW,Male,False,True,True,47,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,99.35,4749.15,True
27,8665-UTDHZ,Male,False,True,True,1,False,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,False,Electronic check,30.2,30.2,True
28,5248-YGIJN,Male,False,True,False,72,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),90.25,6369.45,False
29,8773-HHUOZ,Female,False,False,True,17,True,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,True,Mailed check,64.7,1093.1,True
30,3841-NFECX,Female,True,True,False,71,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,True,Credit card (automatic),96.35,6766.95,False
31,4929-XIHVW,Male,True,True,False,2,True,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Credit card (automatic),95.5,181.65,False
32,6827-IEAUQ,Female,False,True,True,27,True,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,False,Mailed check,66.15,1874.45,False
33,7310-EGVHZ,Male,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Bank transfer (automatic),20.2,20.2,False
34,3413-BMNZE,Male,True,False,False,1,True,No,DSL,No,No,No,No,No,No,Month-to-month,False,Bank transfer (automatic),45.25,45.25,False
35,6234-RAAPL,Female,False,True,True,72,True,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,False,Bank transfer (automatic),99.9,7251.7,False
36,6047-YHPVI,Male,False,False,False,5,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,69.7,316.9,True
37,6572-ADKRS,Female,False,False,False,46,True,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Credit card (automatic),74.8,3548.3,False
38,5380-WJKOV,Male,False,False,False,34,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,106.35,3549.25,True
39,8168-UQWWF,Female,False,False,False,11,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Bank transfer (automatic),97.85,1105.4,True
40,8865-TNMNX,Male,False,True,True,10,True,No,DSL,No,Yes,No,No,No,No,One year,False,Mailed check,49.55,475.7,False
41,9489-DEDVP,Female,False,True,True,70,True,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,True,Credit card (automatic),69.2,4872.35,False
42,9867-JCZSP,Female,False,True,True,17,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,20.75,418.25,False
43,4671-VJLCL,Female,False,False,False,63,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,True,Credit card (automatic),79.85,4861.45,False
44,4080-IIARD,Female,False,True,False,13,True,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,True,Electronic check,76.2,981.45,False
45,3714-NTNFO,Female,False,False,False,49,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,84.5,3906.7,False
46,5948-UJZLF,Male,False,False,False,2,True,No,DSL,No,Yes,No,No,No,No,Month-to-month,False,Mailed check,49.25,97.0,False
47,7760-OYPDY,Female,False,False,False,2,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,80.65,144.15,True
48,7639-LIAYI,Male,False,False,False,52,True,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,True,Credit card (automatic),79.75,4217.8,False
49,2954-PIBKO,Female,False,True,True,69,True,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,True,Credit card (automatic),64.15,4254.1,False
50,8012-SOUDQ,Female,True,False,False,43,True,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,True,Electronic check,90.25,3838.75,False
51,9420-LOJKX,Female,False,False,False,15,True,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,True,Credit card (automatic),99.1,1426.4,True
52,6575-SUVOI,Female,True,True,False,25,True,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,True,Credit card (automatic),69.5,1752.65,False
53,7495-OOKFY,Female,True,True,False,8,True,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Credit card (automatic),80.65,633.3,True
54,4667-QONEA,Female,True,True,True,60,True,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,True,Credit card (automatic),74.85,4456.35,False
55,1658-BYGOY,Male,True,False,False,18,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,95.45,1752.55,True
56,8769-KKTPH,Female,False,True,True,63,True,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,True,Credit card (automatic),99.65,6311.2,False
57,5067-XJQFU,Male,True,True,True,66,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,True,Electronic check,108.45,7076.35,False
58,3957-SQXML,Female,False,True,True,34,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),24.95,894.3,False
59,5954-BDFSG,Female,False,False,False,72,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),107.5,7853.7,False
60,0434-CSFON,Female,False,True,False,47,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,100.5,4707.1,False
61,1215-FIGMP,Male,False,False,False,60,True,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,True,Bank transfer (automatic),89.9,5450.7,False
62,0526-SXDJP,Male,False,True,False,72,False,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,False,Bank transfer (automatic),42.1,2962.0,False
63,0557-ASKVU,Female,False,True,True,18,True,No,DSL,No,No,Yes,Yes,No,No,One year,True,Credit card (automatic),54.4,957.1,False
64,5698-BQJOH,Female,False,False,False,9,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,False,Electronic check,94.4,857.25,True
65,5122-CYFXA,Female,False,False,False,3,True,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,True,Electronic check,75.3,244.1,False
66,8627-ZYGSZ,Male,False,True,False,47,True,Yes,Fiber optic,No,Yes,No,No,No,No,One year,True,Electronic check,78.9,3650.35,False
67,3410-YOQBQ,Female,False,False,False,31,True,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,False,Mailed check,79.2,2497.2,False
68,3170-NMYVV,Female,False,True,True,50,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),20.15,930.9,False
69,7410-OIEDU,Male,False,False,False,10,True,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,True,Mailed check,79.85,887.35,False
70,2273-QCKXA,Male,False,False,False,1,True,No,DSL,No,No,No,Yes,No,No,Month-to-month,False,Mailed check,49.05,49.05,False
71,0731-EBJQB,Female,False,True,True,52,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Electronic check,20.4,1090.65,False
72,1891-QRQSA,Male,True,True,True,64,True,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),111.6,7099.0,False
73,8028-PNXHQ,Male,False,True,True,62,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),24.25,1424.6,False
74,5630-AHZIL,Female,False,False,True,3,True,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,True,Bank transfer (automatic),64.5,177.4,False
75,2673-CXQEU,Female,True,False,False,56,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,False,Electronic check,110.5,6139.5,False
76,6416-JNVRK,Female,False,False,False,46,True,No,DSL,No,No,No,No,No,Yes,One year,False,Credit card (automatic),55.65,2688.85,False
77,5590-ZSKRV,Female,False,True,True,8,True,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,False,Mailed check,54.65,482.25,False
78,0191-ZHSKZ,Male,True,False,False,30,True,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,74.75,2111.3,False
79,3887-PBQAO,Female,False,True,True,45,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Credit card (automatic),25.9,1216.6,False
80,5919-TMRGD,Female,False,False,True,1,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,79.35,79.35,True
81,8108-UXRQN,Female,False,True,True,11,False,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,False,Electronic check,50.55,565.35,False
82,9191-MYQKX,Female,False,True,False,7,True,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Bank transfer (automatic),75.15,496.9,True
83,9919-YLNNG,Female,False,False,False,42,True,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,True,Bank transfer (automatic),103.8,4327.5,False
84,0318-ZOPWS,Female,False,True,False,49,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),20.15,973.35,False
85,4445-ZJNMU,Male,False,False,False,9,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Credit card (automatic),99.3,918.75,False
86,4808-YNLEU,Female,False,True,False,35,True,No,DSL,Yes,No,No,No,Yes,No,One year,True,Bank transfer (automatic),62.15,2215.45,False
87,1862-QRWPE,Female,False,True,True,48,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),20.65,1057.0,False
88,2796-NNUFI,Female,False,True,True,46,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Mailed check,19.95,927.1,False
89,3016-KSVCP,Male,False,True,False,29,False,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,False,Mailed check,33.75,1009.25,False
90,4767-HZZHQ,Male,False,True,True,30,True,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,False,Bank transfer (automatic),82.05,2570.2,False
91,2424-WVHPL,Male,True,False,False,1,True,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,False,Electronic check,74.7,74.7,False
92,7233-PAHHL,Male,False,True,True,66,True,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,True,Mailed check,84.0,5714.25,False
93,6067-NGCEU,Female,False,False,False,65,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,True,Credit card (automatic),111.05,7107.0,False
94,9848-JQJTX,Male,False,False,False,72,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,True,Bank transfer (automatic),100.9,7459.05,False
95,8637-XJIVR,Female,False,False,False,12,True,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,True,Electronic check,78.95,927.35,True
96,9803-FTJCG,Male,False,True,True,71,True,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,True,Credit card (automatic),66.85,4748.7,False
97,0278-YXOOG,Male,False,False,False,5,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,21.05,113.85,True
98,3212-KXOCR,Male,False,False,False,52,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),21.0,1107.2,False
99,4598-XLKNJ,Female,True,True,False,25,True,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,98.5,2514.5,True
100,6380-ARCEH,Male,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.2,20.2,False
101,3679-XASPY,Female,False,True,True,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Electronic check,19.45,19.45,False
102,7123-WQUHX,Male,False,False,False,38,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,False,Bank transfer (automatic),95.0,3605.6,False
103,5386-THSLQ,Female,True,True,False,66,False,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,False,Bank transfer (automatic),45.55,3027.25,False
104,3192-NQECA,Male,False,True,False,68,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),110.0,7611.85,True
105,6180-YBIQI,Male,False,False,False,5,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,False,Mailed check,24.3,100.2,False
106,6728-DKUCO,Female,False,True,True,72,True,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,True,Electronic check,104.15,7303.05,False
107,9750-BOOHV,Female,False,False,False,32,False,No phone service,DSL,Yes,No,No,No,No,No,One year,False,Mailed check,30.15,927.65,False
108,8597-CWYHH,Male,False,False,False,43,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,False,Mailed check,94.35,3921.3,False
109,2848-YXSMW,Male,False,True,True,72,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),19.4,1363.25,False
110,0486-HECZI,Male,False,True,False,55,True,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,True,Electronic check,96.75,5238.9,True
111,4549-ZDQYY,Female,False,False,False,52,True,No,DSL,Yes,No,Yes,Yes,No,No,One year,False,Credit card (automatic),57.95,3042.25,False
112,5712-AHQNN,Female,False,False,False,43,True,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,True,Electronic check,91.65,3954.1,False
113,4846-WHAFZ,Female,True,True,False,37,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,76.5,2868.15,True
114,5256-SKJGO,Female,False,True,True,64,False,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,True,Electronic check,54.6,3423.5,False
115,3071-VBYPO,Male,False,True,True,3,True,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,False,Electronic check,89.85,248.4,False
116,9560-BBZXK,Female,False,False,False,36,False,No phone service,DSL,Yes,No,No,No,No,No,Two year,False,Bank transfer (automatic),31.05,1126.35,False
117,5299-RULOA,Female,False,True,True,10,True,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,100.25,1064.65,True
118,8402-OOOHJ,Female,False,False,False,41,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,20.65,835.15,False
119,9445-ZUEQE,Male,False,True,True,27,True,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,True,Credit card (automatic),85.2,2151.6,False
120,1091-SOZGA,Female,False,True,True,56,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,True,Credit card (automatic),99.8,5515.45,False
121,2928-HLDBA,Female,False,False,False,6,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.7,112.75,False
122,0404-SWRVG,Male,False,False,False,3,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,74.4,229.55,True
123,6497-TILVL,Female,False,True,True,7,True,No,DSL,Yes,No,No,No,No,No,Month-to-month,False,Mailed check,50.7,350.35,False
124,7219-TLZHO,Female,False,True,True,4,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.85,62.9,False
125,4622-YNKIJ,Male,False,False,False,33,True,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,True,Electronic check,88.95,3027.65,False
126,4412-YLTKF,Female,True,False,False,27,True,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Electronic check,78.05,2135.5,True
127,6734-PSBAW,Male,False,True,False,72,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),23.55,1723.95,False
128,3930-ZGWVE,Male,False,False,False,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.75,19.75,False
129,2639-UGMAZ,Male,True,False,False,71,False,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,True,Electronic check,56.45,3985.35,False
130,2876-GZYZC,Female,False,False,False,13,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,85.95,1215.65,False
131,6207-WIOLX,Female,False,True,True,25,False,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,True,Credit card (automatic),58.6,1502.65,True
132,8587-XYZSF,Male,False,False,False,67,True,No,DSL,No,No,No,Yes,No,No,Two year,False,Bank transfer (automatic),50.55,3260.1,False
133,3091-FYHKI,Male,False,False,False,1,False,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,35.45,35.45,True
134,2372-HWUHI,Male,False,False,False,2,True,No,DSL,No,No,No,No,No,No,Month-to-month,False,Electronic check,44.35,81.25,True
135,7799-LGRDP,Female,False,False,False,43,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Credit card (automatic),25.7,1188.2,False
136,7850-VWJUU,Female,False,False,False,23,True,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,True,Bank transfer (automatic),75.0,1778.5,False
137,3774-VBNXY,Female,False,True,True,64,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,20.2,1277.75,False
138,6217-KDYWC,Male,False,False,True,57,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Mailed check,19.6,1170.55,False
139,0390-DCFDQ,Female,True,True,False,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Mailed check,70.45,70.45,True
140,3146-MSEGF,Female,True,True,True,72,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),88.05,6425.65,False
141,4080-OGPJL,Female,False,False,False,8,True,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,False,Electronic check,71.15,563.65,True
142,1095-WGNGG,Female,False,True,False,61,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,True,Bank transfer (automatic),101.05,5971.25,False
143,2636-SJDOU,Male,False,False,False,64,True,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,True,Credit card (automatic),84.3,5289.05,False
144,1131-QQZEB,Male,True,True,False,71,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),23.95,1756.2,False
145,5716-EZXZN,Female,False,True,True,65,True,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,True,Credit card (automatic),99.05,6416.7,False
146,6837-BJYDQ,Male,False,False,False,3,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,19.6,61.35,False
147,2135-RXIHG,Male,False,False,False,1,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Electronic check,45.65,45.65,True
148,6440-DKQGE,Male,False,False,True,30,True,No,DSL,No,Yes,Yes,No,Yes,No,One year,False,Credit card (automatic),64.5,1929.95,False
149,3466-BYAVD,Male,False,True,True,15,True,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,True,Mailed check,69.5,1071.4,False
150,3780-YVMFA,Female,False,True,True,8,True,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,True,Electronic check,68.55,564.35,False
151,3874-EQOEP,Male,False,False,False,7,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,False,Mailed check,95.0,655.5,True
152,1679-JRFBR,Female,False,True,True,70,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,True,Credit card (automatic),108.15,7930.55,False
153,9073-ZZIAY,Male,False,True,True,62,True,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Electronic check,86.1,5215.25,False
154,3077-RSNTJ,Female,False,True,True,6,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.7,113.5,False
155,6551-GNYDG,Female,False,True,True,14,True,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Bank transfer (automatic),80.9,1152.8,False
156,9167-APMXZ,Female,False,False,False,22,True,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Bank transfer (automatic),84.15,1821.95,False
157,2749-CTKAJ,Male,False,True,True,22,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,20.15,419.9,False
158,6371-NZYEG,Male,False,True,True,16,True,No,DSL,Yes,No,Yes,No,Yes,No,Two year,False,Mailed check,64.25,1024.0,False
159,7554-NEWDD,Male,False,False,False,10,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),25.7,251.6,False
160,8992-VONJD,Female,False,False,True,13,True,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,True,Electronic check,56.0,764.55,False
161,0867-MKZVY,Female,False,True,False,20,True,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,False,Electronic check,82.4,1592.35,True
162,4482-EWFMI,Female,False,False,False,2,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,69.7,135.2,False
163,4648-YPBTM,Male,False,False,False,53,True,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,True,Bank transfer (automatic),73.9,3958.25,False
164,2907-ILJBN,Female,False,True,True,11,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,20.6,233.9,False
165,6345-FZOQH,Male,False,True,False,69,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,19.9,1363.45,False
166,3376-BMGFE,Female,False,False,False,4,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Bank transfer (automatic),70.9,273.0,True
167,5997-OPVFA,Male,False,True,False,72,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),89.05,6254.45,False
168,3445-HXXGF,Male,True,True,False,58,False,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,True,Electronic check,45.3,2651.2,True
169,1159-WFSGR,Female,False,True,True,16,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Electronic check,20.4,321.4,False
170,7654-YWJUF,Male,False,True,False,43,True,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,True,Bank transfer (automatic),84.25,3539.25,False
171,1875-QIVME,Female,False,True,False,2,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,104.4,242.8,True
172,6727-IOTLZ,Male,False,True,False,14,True,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,False,Mailed check,81.95,1181.75,False
173,0691-JVSYA,Female,False,True,False,53,True,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,True,Bank transfer (automatic),94.85,5000.2,True
174,5918-VUKWP,Female,False,False,False,32,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Bank transfer (automatic),20.55,654.55,False
175,1744-JHKYS,Female,False,True,False,34,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Electronic check,24.7,780.2,False
